participant,psola_Suuuuuuure_Im_coming_1,present_Suuuuuuure_Im_coming_1,jets_Suuuuuuure_Im_coming_1,psola_This_is_a_craaaaaaazy_way_to_do_it_1,present_This_is_a_craaaaaaazy_way_to_do_it_1,jets_This_is_a_craaaaaaazy_way_to_do_it_1,psola_Its_too_faaaaaaar_1,present_Its_too_faaaaaaar_1,jets_Its_too_faaaaaaar_1,psola_Waaaaaaa_this_is_a_big_prize_1,present_Waaaaaaa_this_is_a_big_prize_1,jets_Waaaaaaa_this_is_a_big_prize_1,psola_That_could_be_a_long_way_1,present_That_could_be_a_long_way_1,jets_That_could_be_a_long_way_1,psola_Cooooooool_lets_go_1,present_Cooooooool_lets_go_1,jets_Cooooooool_lets_go_1,psola_Then_we_will_dieeeeeee_1,present_Then_we_will_dieeeeeee_1,jets_Then_we_will_dieeeeeee_1,psola_Yesterdays_lunch_was_reaaaaaaally_good_1,present_Yesterdays_lunch_was_reaaaaaaally_good_1,jets_Yesterdays_lunch_was_reaaaaaaally_good_1,psola_Nooooooo_i_wont_give_it_to_you_1,present_Nooooooo_i_wont_give_it_to_you_1,jets_Nooooooo_i_wont_give_it_to_you_1,psola_Will_be_fiiiiiiine_1,present_Will_be_fiiiiiiine_1,jets_Will_be_fiiiiiiine_1,dailytalk_What_are_you_working_on_1,present_What_are_you_working_on_1,jets_What_are_you_working_on_1,dailytalk_Well_how_does_it_look_1,present_Well_how_does_it_look_1,jets_Well_how_does_it_look_1,dailytalk_Is_that_Mister_Edna_Kent_1,present_Is_that_Mister_Edna_Kent_1,jets_Is_that_Mister_Edna_Kent_1,dailytalk_Did_you_bring_some_lunch_with_you_1,present_Did_you_bring_some_lunch_with_you_1,jets_Did_you_bring_some_lunch_with_you_1,dailytalk_Who_taught_you_to_put_on_makeup_1,present_Who_taught_you_to_put_on_makeup_1,jets_Who_taught_you_to_put_on_makeup_1,dailytalk_Excuse_me_could_you_tell_me_where_you_have_got_that_music_book_1,present_Excuse_me_could_you_tell_me_where_you_have_got_that_music_book_1,jets_Excuse_me_could_you_tell_me_where_you_have_got_that_music_book_1,dailytalk_What_do_I_need_to_take_with_me_1,present_What_do_I_need_to_take_with_me_1,jets_What_do_I_need_to_take_with_me_1,dailytalk_Can_you_come_to_my_office_this_afternoon_at_three_o_clock_1,present_Can_you_come_to_my_office_this_afternoon_at_three_o_clock_1,jets_Can_you_come_to_my_office_this_afternoon_at_three_o_clock_1,dailytalk_Can_I_help_you_1,present_Can_I_help_you_1,jets_Can_I_help_you_1,dailytalk_You_mean_the_boy_who_felt_carsick_just_now_1,present_You_mean_the_boy_who_felt_carsick_just_now_1,jets_You_mean_the_boy_who_felt_carsick_just_now_1,Prosody_transfer_1_qn_1,Prosody_transfer_2_qn_1,Prosody_transfer_3_qn_1,Prosody_transfer_4_qn_1,Prosody_transfer_5_qn_1,Prosody_transfer_6_qn_1,Prosody_transfer_7_qn_1,Prosody_transfer_8_qn_1,Prosody_transfer_9_qn_1,Prosody_transfer_10_qn_1,Prosody_transfer_11_qn_1,Prosody_transfer_12_qn_1,TIME_start,TIME_end,TIME_total
s.fb92cd3b-90fa-49fd-862e-f62f48038fb7.txt,2.5,2.75,3.25,3.5,3.25,3.25,3.25,3.5,3.75,2.75,3.25,3.25,3.5,3.75,3.25,2.75,3.25,2.75,2.25,2.75,3.25,3.75,4.25,3.25,2.5,2.5,2.25,2.75,3.5,2.75,4.25,3.5,3.75,3.75,4,3.75,5,3.5,3.5,5,3.5,3.5,5,3.5,3.5,4.75,3.5,3.5,4.75,3.75,3.75,4.75,4.5,4.25,4.5,4.5,4.5,4.5,4.25,4.5,-1.5,-2,-2,-2.5,-2.5,-1.5,-2.5,-2,-2,-2.5,-1.5,-1.5,2023-07-17-02-03,2023-07-17-02-41,38
s.8e6f93e7-dd4b-4fe9-8d71-c2978eca4943.txt,4.25,2.5,2.5,2.75,2.75,3.5,2.75,3,3.25,2.25,2.25,2.25,3.5,2.75,3.25,3,2.5,3.25,3,2.75,3.25,3.25,2.75,3.5,2.75,3,2,3.25,2.75,2.75,3.75,4,3.75,3.75,4,2.5,3.75,3.75,3,3.75,3.75,3,2.75,3.25,3.75,4,4,2.75,3.75,2.75,3.25,4,3.5,2.75,3.75,2.75,3,3.75,3.75,3,-1,-0.5,-1.5,-1.5,-0.5,-1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,2023-07-17-02-14,2023-07-17-02-29,15
s.234b854e-8ce6-45ca-a117-62a59149e017.txt,2.5,2,2.75,3.25,2.5,2.25,2.75,2.75,3,3.25,2.75,3,3.5,3,3.25,3.25,3,3.5,3.25,3.5,3.75,3.5,3.75,3.5,3.25,2.75,3.25,3.25,3.5,3.25,5,3.5,3.25,4.75,3.5,3.75,4.75,4.25,4,4.75,4,4.25,4.75,4.25,4,4.75,4,4,4.5,4,4.25,4.5,4,4.25,4.5,4,4.25,4.5,4,4.25,-2,1.5,-1.5,1.5,2,-2,-2.5,-2,-2.5,-2,-2.5,-2,2023-07-17-04-06,2023-07-17-04-14,8
s.ba165fb9-dff7-43a8-a015-471855aa1d97.txt,3.5,3.25,3.5,3.75,3.5,3.5,4,3.75,4,3.5,3.75,3.5,4.25,4,4.25,4.25,3.75,4.25,4,3.75,4,4.25,3.75,4.25,4.25,3.75,4,4,3.75,4,4.5,4.25,4.25,4.5,4.25,4.5,5,5,5,5,4.75,5,5,5,5,5,5,5,5,4.75,5,5,4.75,5,5,4.5,4.75,5,4.75,5,-2,-0.5,-3,-1.5,-0.5,-2,-0.5,-1.5,-2,-0.5,-0.5,-1,2023-07-17-04-27,2023-07-17-04-39,12
s.9e4466e0-d76f-471d-bcc6-9dac13adea34.txt,3,1,1,2.75,3.75,2.5,3,5,2.75,1,2.5,5,3.75,2.75,2.75,4.25,4.75,3.5,2,2.75,3,3.25,4.5,4,2,3.75,1.5,3.75,2.75,2.5,5,2.25,2,2.75,4.75,5,3.75,5,2.5,5,4.75,3.25,2.25,3.75,2.25,5,2.75,3,4,4,1.25,5,1.75,1,5,3.75,2,3.75,2.25,4.75,-3,2.5,2.5,-1.5,2.5,3,3,-1.5,-2,-3,-3,-3,2023-07-17-05-35,2023-07-17-05-46,11
s.bac2315c-2326-4f84-8356-bc15d964a97e.txt,3.25,1.5,1.5,3,3,2.5,2.75,3,4.75,2.75,1.75,2,4.75,3.25,3.25,3.25,2.5,3.25,2.5,2.5,2.5,4,4.5,5,2.25,2,1.5,2.5,2.75,2.75,4.5,4.75,5,3.75,3.5,4.25,4.75,5,4,3.75,5,4.75,2.5,3.5,3.5,3.5,3.25,2,3.25,1.25,1.25,3.75,1.25,1.5,3.5,2.75,3,4,1,1.75,-2,-2,-2,-2,-2.5,-2.5,-2,-2,-2.5,-2.5,-2.5,-2.5,2023-07-17-07-10,2023-07-17-07-20,10
s.8053c861-7d90-4fa0-81ab-f522c706a8ad.txt,3.5,2.5,2,4,2.5,3.5,4,3,4.5,4.5,3.5,3,4.75,3,4.75,3,3,4,3.5,4.5,4.5,4.5,3.5,5,4.5,4.25,4,4,4.25,4.25,5,5,5,5,5,5,5,5,4.5,5,4,4,5,4.25,4.5,5,5,4.5,5,4,4,5,4,3,5,4,3.5,5,4.5,4.75,-3,-2.5,-1,-2.5,0,-1,-2.5,-2,-2.5,-2.5,-2,-2.5,2023-07-17-08-19,2023-07-17-08-30,11
s.e9e11b27-5016-4df4-a34e-61c28b19d9f3.txt,1.5,1,1,5,1.75,2.25,3.75,1.5,3,2.75,1.25,1.75,5,2.75,3.5,2.25,2.25,3,2,1.75,2.25,4.75,3.5,5,2,2,1,2.25,2,2,4.5,5,4,5,4.5,5,3.25,4.25,2.75,5,5,4.5,1.75,3.5,3.25,5,3.75,4.25,4.5,2.75,2.5,5,3.5,3.25,5,4.5,4.5,2.25,5,2.25,-2,-1,-1,-1,-1,-2,-0.5,-1,-2,-2.5,-1,-1,2023-07-17-10-40,2023-07-17-10-50,10
